reltime/s,C/mA.h,C/A.h,Ewe/V,soc,soc_cell
9281.285284895974,0.0376310458829762,3.76310458829762e-05,0.489322543144226,0.5005345478658982,0.5005345424811085
9291.285477444995,0.0376715931360212,3.76715931360212e-05,0.489494383335113,0.5010738711957147,0.5010738658167394
9301.285669993958,0.0377121400724803,3.7712140072480295e-05,0.489589869976043,0.5016131903145884,0.5016131849414276
9311.28586254397,0.0377526869745838,3.77526869745838e-05,0.489570766687393,0.5021525089764947,0.5021525036091483
9321.28605509299,0.037793233404083,3.7793233404083e-05,0.489628046751022,0.5026918213522408,0.5026918159907089
9331.286247641954,0.0378337802272047,3.78337802272047e-05,0.489647150039672,0.5032311389636016,0.5032311336078842
9341.286440191963,0.0378743267072746,3.78743267072746e-05,0.489685326814651,0.503770452011994,0.5037704466620909
9351.286632740988,0.0379148728493983,3.79148728493983e-05,0.489608973264694,0.504309760565328,0.5043097552212392
9361.286825290998,0.0379554191956907,3.79554191956907e-05,0.489761710166931,0.5048490718343316,0.5048490664960572
9371.28701783996,0.0379959651657181,3.79959651657181e-05,0.489952653646469,0.5053883780985944,0.5053883727661344
9381.287210388982,0.0380365106413087,3.8036510641308704e-05,0.490029036998748,0.5059276777863007,0.5059276724596549
9391.287402938991,0.0380770565649579,3.80770565649579e-05,0.48989537358284,0.506466983433682,0.5064669781128505
9401.287595487956,0.0381176024767637,3.81176024767637e-05,0.489971756935119,0.507006288923533,0.5070062836085159
9411.287788037967,0.0381581486184965,3.81581486184965e-05,0.489971756935119,0.5075455974716677,0.5075455921624649
9421.287980586989,0.0381986950302242,3.8198695030224206e-05,0.490086317062377,0.5080849096110333,0.5080849043076447
9431.288173135952,0.0382392415845916,3.82392415845916e-05,0.490258157253265,0.5086242236476645,0.5086242183500904
9441.288365685965,0.038279787825704,3.8279787825704e-05,0.490219950675964,0.5091635335176578,0.509163528225898
9451.288558234985,0.0383203337326668,3.83203337326668e-05,0.490162670612335,0.5097028389430915,0.5097028336571462
9461.288750784006,0.0383608796924436,3.83608796924436e-05,0.490277260541915,0.5102421450710101,0.510242139790879
9471.28894333396,0.0384014255343917,3.84014255343917e-05,0.490544557571411,0.5107814496316764,0.5107814443573596
9481.28913588298,0.0384419713413118,3.8441971341311794e-05,0.490410894155502,0.5113207537264315,0.511320748457929
9491.289328432002,0.0384825167186473,3.84825167186473e-05,0.490429997444152,0.5118600521072363,0.511860046844548
9501.289520981954,0.0385230620780695,3.85230620780695e-05,0.490391820669174,0.5123993502497742,0.5123993449929002
9511.289713530976,0.0385636077514129,3.85636077514129e-05,0.49062094092369,0.5129386525678116,0.5129386473167519
9521.289906080989,0.0386041531144766,3.86041531144766e-05,0.49062094092369,0.5134779507587856,0.51347794551354
9531.290098630008,0.0386446984223448,3.86446984223448e-05,0.49052545428276,0.5140172482155984,0.514017242976167
9541.29029117996,0.0386852438664284,3.86852438664284e-05,0.490640044212341,0.5145565474842266,0.5145565422506095
9551.290483728984,0.038725789318649,3.8725789318649e-05,0.490735501050949,0.515095846861086,0.5150958416332831
9561.290676278004,0.0387663345547578,3.87663345547578e-05,0.490869164466857,0.5156351433634193,0.5156351381414307
9571.290868827957,0.0388068800218987,3.88068800218987e-05,0.490869164466857,0.5161744429387353,0.5161744377225609
9581.291061376978,0.0388474260326539,3.88474260326539e-05,0.490926444530487,0.5167137497447227,0.5167137445343627
9591.29125392699,0.038887971909776,3.8887971909776e-05,0.490850061178207,0.5172530547732422,0.5172530495686966
9601.291446475952,0.0389285176337468,3.89285176337468e-05,0.490983724594116,0.51779235776468,0.5177923525659486
9611.291639024974,0.0389690633435808,3.89690633435808e-05,0.491117388010025,0.5183316605680827,0.5183316553751655
9621.291831574985,0.0390096091707088,3.90096091707088e-05,0.491079181432724,0.5188709649316253,0.5188709597445225
9631.292024124006,0.0390501546541757,3.90501546541757e-05,0.491079181432724,0.5194102647240951,0.5194102595428065
9641.29221667297,0.0390906998648022,3.90906998648022e-05,0.491212844848632,0.5199495608874857,0.5199495557120113
9651.292409221993,0.039131245347537,3.9131245347537e-05,0.491289228200912,0.5204888606702177,0.5204888555005576
9661.292601772002,0.0391717910961541,3.91717910961541e-05,0.491327404975891,0.5210281639894785,0.5210281588256326
9671.292794320963,0.0392123372533041,3.92123372533041e-05,0.49138468503952,0.5215674727426788,0.5215674675846472
9681.292986870976,0.0392528836586276,3.92528836586276e-05,0.491518348455429,0.5221067847968613,0.5221067796446442
9691.293179419998,0.0392934292070395,3.92934292070395e-05,0.491594731807708,0.5226460854531715,0.5226460803067686
9701.293371970009,0.0393339746603905,3.93339746603905e-05,0.491594731807708,0.5231853848450665,0.5231853797044779
9711.293564518972,0.039374520292767,3.9374520292767e-05,0.491575628519058,0.5237246866181987,0.5237246814834243
9721.293757067991,0.0394150655977119,3.94150655977119e-05,0.491671115159988,0.5242639840361283,0.5242639789071681
9731.293949618004,0.0394556112825902,3.94556112825902e-05,0.491690188646316,0.5248032865075926,0.5248032813844467
9741.294142167955,0.0394961573223378,3.94961573223378e-05,0.491785675287246,0.5253425936992111,0.5253425885818795
9751.294334716978,0.039536703466829,3.9536703466829e-05,0.491785675287246,0.5258819022840354,0.5258818971725182
9761.29452726699,0.0395772494586691,3.95772494586691e-05,0.491804748773574,0.5264212088384312,0.5264212037327284
9771.294719815953,0.0396177958273025,3.96177958273025e-05,0.491804748773574,0.526960520404595,0.5269605153047064
9781.294912365964,0.0396583421399681,3.9658342139968096e-05,0.491900235414505,0.5274998312263248,0.5274998261322507
9791.295104914983,0.039698888425937,3.9698888425937e-05,0.491919338703155,0.5280391416929592,0.5280391366046994
9801.295297464996,0.0397394344678048,3.97394344678048e-05,0.492129355669021,0.5285784489127787,0.5285784438303333
9811.29549001396,0.0397799804069378,3.97799804069378e-05,0.492091178894043,0.5291177547661119,0.5291177496894808
9821.29568256397,0.0398205261061341,3.98205261061341e-05,0.492224842309951,0.5296570574280214,0.5296570523572045
9831.295875112992,0.0398610715755663,3.98610715755663e-05,0.492148458957672,0.5301963570338141,0.5301963519688114
9841.296067663005,0.0399016168704722,3.99016168704722e-05,0.49218663573265,0.5307356543182139,0.5307356492590255
9851.296260212956,0.0399421623021189,3.99421623021189e-05,0.49228212237358,0.5312749534214176,0.5312749483680435
9861.296452761975,0.0399827080356449,3.99827080356449e-05,0.492243915796279,0.5318142565399501,0.5318142514923901
9871.296645311988,0.0400232534864822,4.002325348648221e-05,0.492243915796279,0.53235355589841,0.5323535508566645
9881.296837860951,0.0400637988374876,4.00637988374876e-05,0.492301195859909,0.5328928539289952,0.5328928488930638
9891.297030409973,0.0401043439408062,4.01043439408062e-05,0.492377579212188,0.533432148665072,0.5334321436349548
9901.297222958994,0.0401448898023067,4.014488980230671e-05,0.492568522691726,0.533971453485807,0.5339714484615041
9911.297415507956,0.040185435462331,4.0185435462331e-05,0.492530316114425,0.5345107556266855,0.5345107506081969
9921.29760805698,0.0402259820812581,4.0225982081258095e-05,0.492625802755355,0.5350500705220322,0.535050065509358
9931.297800606,0.0402665287685192,4.02665287685192e-05,0.492663979530334,0.5355893863262968,0.535589381319437
9941.297993154963,0.0403070751525644,4.03070751525644e-05,0.492568522691726,0.5361286980974544,0.536128693096409
9951.298185703983,0.040347621422031,4.0347621422031e-05,0.492816746234893,0.5366680083445899,0.5366680033493588
9961.298378253006,0.040388167370458,4.0388167370458e-05,0.492931306362152,0.5372073143215434,0.5372073093321267
9971.29857080197,0.0404287128575332,4.04287128575332e-05,0.492912203073501,0.5377466141620076,0.5377466091784051
9981.298763350993,0.0404692586516474,4.04692586516474e-05,0.492854923009872,0.5382859180864301,0.5382859131086419
9991.298955901002,0.0405098038842182,4.05098038842182e-05,0.492931306362152,0.5388252145417042,0.5388252095697302
10001.299148449963,0.0405503493671599,4.05503493671599e-05,0.493007689714431,0.5393645143271882,0.5393645093610285
10011.299340998989,0.0405908949927893,4.05908949927893e-05,0.49306496977806,0.5399038160105765,0.539903811050231
10021.299533548008,0.0406314407305529,4.06314407305529e-05,0.493160426616668,0.5404431191854737,0.5404431142309425
10031.299726096971,0.0406719868482466,4.06719868482466e-05,0.493141323328018,0.5409824274138617,0.5409824224651448
10041.299918645993,0.0407125331752981,4.07125331752981e-05,0.493217706680297,0.5415217384269401,0.5415217334840375
10051.300111194956,0.04075307911545,4.075307911545e-05,0.493332266807556,0.5420610442938256,0.5420610393567374
10061.300303743978,0.0407936254451217,4.0793625445121706e-05,0.493465930223465,0.5426003553417555,0.5426003504104817
10071.300496293,0.0408341717186827,4.08341717186827e-05,0.493389546871185,0.543139665643351,0.5431396607178915
10081.300688841962,0.0408747176998807,4.08747176998807e-05,0.493446826934814,0.5436789720561951,0.54367896713655
10091.300881390984,0.0409152636028113,4.09152636028113e-05,0.493389546871185,0.5442182774279962,0.5442182725141654
10101.301073940003,0.0409558095176239,4.09558095176239e-05,0.493485033512115,0.544757582957841,0.5447575780498245
10111.301266489958,0.0409963549388374,4.09963549388374e-05,0.493485033512115,0.5452968819222718,0.5452968770200695
10121.30145903898,0.041036900354716,4.1036900354716e-05,0.493580490350723,0.5458361808157424,0.5458361759193543
10131.301651588,0.0410774465268839,4.10774465268839e-05,0.493561416864395,0.5463754897686974,0.5463754848781237
10141.301844136964,0.0411179929317522,4.11179929317522e-05,0.493695050477981,0.5469148018168253,0.546914796932066
10151.302036685986,0.0411585392244816,4.11585392244816e-05,0.49375233054161,0.5474541123733817,0.5474541074944368
