time/s,reltime/s,C/mA.h,C/A.h,Ewe/V,Ece/V,Ewe-Ece/V,,soc_init (lookup in 0.2C),,Q/Q_max,soc_cell
512441.433329833,0.0533999559702352,1.08573346899615E-05,1.08573346899615E-08,0.254390865564346,-1.01841151714325,1.27280238270759,,,,0.000148934632235412,0.000322075189137446
512441.434329832,0.0543999549699947,1.10598995851145E-05,1.10598995851145E-08,0.255479216575622,-1.01827776432037,1.27375698089599,,,,0.000151713300207332,0.000324853857109366
512441.435329832,0.0553999550174922,1.12624581191274E-05,1.12624581191274E-08,0.256624847650528,-1.01833510398864,1.27495995163917,,,,0.000154491880920815,0.000327632437822849
512441.436529832,0.0565999550162815,1.15055376920435E-05,1.15055376920435E-08,0.257751375436782,-1.01841151714325,1.27616289258003,,,,0.000157826305789348,0.000330966862691382
512441.437529832,0.0575999550055712,1.17080979943275E-05,1.17080979943275E-08,0.258763372898101,-1.01846873760223,1.27723211050033,,,,0.000160604910758951,0.000333745467660985
512441.438529832,0.058599954994861,1.19106643034352E-05,1.19106643034352E-08,0.259947180747985,-1.01850688457489,1.27845406532287,,,,0.000163383598126683,0.000336524155028717
512441.439529832,0.0595999549841508,1.21132327351305E-05,1.21132327351305E-08,0.260959178209304,-1.01846873760223,1.27942791581153,,,,0.000166162314610844,0.000339302871512878
512441.440729831,0.0607999539934099,1.23563084204991E-05,1.23563084204991E-08,0.262142986059188,-1.01862144470214,1.28076443076133,,,,0.000169496686152251,0.000342637243054285
512441.441929831,0.0619999539921992,1.25993886987368E-05,1.25993886987368E-08,0.263422280550003,-1.01858329772949,1.28200557827949,,,,0.000172831120695978,0.000345971677598012
512441.443129832,0.0631999549805187,1.28424633277787E-05,1.28424633277787E-08,0.264587014913559,-1.01867878437042,1.28326579928398,,,,0.000176165477747307,0.000349306034649341
512441.444129833,0.0641999560175464,1.30450268122884E-05,1.30450268122884E-08,0.265637189149856,-1.0187360048294,1.28437319397926,,,,0.00017894412636884,0.000352084683270874
512441.445129833,0.0651999560068362,1.32475839323467E-05,1.32475839323467E-08,0.266706436872482,-1.01864051818847,1.28534695506095,,,,0.000181722687686512,0.000354863244588546
512441.446129832,0.0661999550065957,1.34501417544153E-05,1.34501417544153E-08,0.267718434333801,-1.01869785785675,1.28641629219055,,,,0.000184501258633955,0.000357641815535989
512441.44712983,0.067199953016825,1.36526988744735E-05,1.36526988744735E-08,0.268806785345077,-1.01865971088409,1.28746649622917,,,,0.000187279819951626,0.00036042037685366
512441.448129829,0.0681999520165846,1.38552609450287E-05,1.38552609450287E-08,0.269818753004074,-1.01871693134307,1.28853568434715,,,,0.000190058449177348,0.000363199006079382
512441.449129827,0.0691999499686062,1.40578251282374E-05,1.40578251282374E-08,0.270868927240371,-1.01867878437042,1.28954771161079,,,,0.000192837107383229,0.000365977664285263
512441.450129825,0.0701999479788356,1.42603871954811E-05,1.42603871954811E-08,0.271995455026626,-1.01877415180206,1.29076960682869,,,,0.000195615736563527,0.000368756293465561
512441.451329823,0.0713999459985644,1.45034604006343E-05,1.45034604006343E-08,0.273160189390182,-1.01862144470214,1.29178163409233,,,,0.000198950074082775,0.000372090630984809
512441.452529821,0.0725999440182932,1.4746545271741E-05,1.4746545271741E-08,0.27421036362648,-1.01867878437042,1.2928891479969,,,,0.00020228457162882,0.000375425128530854
512441.45332982,0.0733999430085532,1.49086004396279E-05,1.49086004396279E-08,0.275222331285476,-1.01858329772949,1.29380562901496,,,,0.00020450755061218,0.000377648107514214
512441.454529818,0.0745999409700744,1.51516796582274E-05,1.51516796582274E-08,0.276291608810424,-1.01869785785675,1.29498946666717,,,,0.000207841970620403,0.000380982527522437
512441.455729816,0.0757999389898032,1.53947602874702E-05,1.53947602874702E-08,0.277513593435287,-1.0187360048294,1.29624959826469,,,,0.000211176409979015,0.000384316966881049
512441.456729814,0.0767999370000325,1.55973269508944E-05,1.55973269508944E-08,0.278582870960235,-1.018812417984,1.29739528894424,,,,0.000213955102207056,0.00038709565910909
512441.457929812,0.0779999350197613,1.58404047522279E-05,1.58404047522279E-08,0.279728502035141,-1.01890790462493,1.29863640666008,,,,0.000217289502774045,0.000390430059676079
512441.45912981,0.0791999329812825,1.60834793746471E-05,1.60834793746471E-08,0.280855029821395,-1.01879334449768,1.29964837431907,,,,0.000220623859734528,0.000393764416636562
512441.460329808,0.0803999310010113,1.63265568282869E-05,1.63265568282869E-08,0.282000690698623,-1.01890790462493,1.30090859532356,,,,0.000223958255532056,0.00039709881243409
512441.461529807,0.0815999300102703,1.65696321560276E-05,1.65696321560276E-08,0.283146321773529,-1.01904153823852,1.30218786001205,,,,0.000227292622167731,0.000400433179069765
512441.462729808,0.0827999309985898,1.68127099606725E-05,1.68127099606725E-08,0.284291952848434,-1.01892697811126,1.3032189309597,,,,0.000230627022780144,0.000403767579682178
512441.463929809,0.0839999319869094,1.70557976663112E-05,1.70557976663112E-08,0.285323023796081,-1.01900327205658,1.30432629585266,,,,0.000233961559208658,0.000407102116110692
512441.464929809,0.0849999319761992,1.7258359733555E-05,1.7258359733555E-08,0.286411374807357,-1.01898419857025,1.3053955733776,,,,0.000236740188388958,0.000409880745290992
512441.466129808,0.0861999309854582,1.75014424886968E-05,1.75014424886968E-08,0.287576109170913,-1.01906061172485,1.30663672089576,,,,0.000240074656909421,0.000413215213811455
512441.467329808,0.0873999309842475,1.77445195880201E-05,1.77445195880201E-08,0.288817197084426,-1.0190223455429,1.30783954262733,,,,0.000243409047846641,0.000416549604748675
512441.468529808,0.0885999309830368,1.79875920911629E-05,1.79875920911629E-08,0.289943754673004,-1.01892697811126,1.30887073278427,,,,0.000246743375736117,0.000419883932638151
512441.469729808,0.089799930981826,1.82306635313563E-05,1.82306635313563E-08,0.290993928909301,-1.0190223455429,1.3100162744522,,,,0.000250077689044668,0.000423218245946702
512441.470729808,0.0907999309711158,1.84332312544186E-05,1.84332312544186E-08,0.292101353406906,-1.01896512508392,1.31106647849082,,,,0.000252856395808211,0.000425996952710245
512441.471929807,0.0919999299803749,1.86762981083657E-05,1.86762981083657E-08,0.293113350868225,-1.01892697811126,1.31204032897949,,,,0.000256190646205291,0.000429331203107325
512441.473129808,0.0931999309686944,1.89193766216437E-05,1.89193766216437E-08,0.294201701879501,-1.01896512508392,1.31316682696342,,,,0.000259525056538322,0.000432665613440356
512441.474329808,0.0943999310256913,1.91624519427617E-05,1.91624519427617E-08,0.295385509729385,-1.01896512508392,1.3143506348133,,,,0.000262859423083151,0.000435999979985185
512441.475729809,0.0957999320235103,1.94460394812954E-05,1.94460394812954E-08,0.29660752415657,-1.01909875869751,1.31570628285408,,,,0.000266749512774971,0.000439890069677005
512441.476929809,0.0969999320222996,1.96891137527094E-05,1.96891137527094E-08,0.297676801681518,-1.0190223455429,1.31669914722442,,,,0.000270083864920568,0.000443224421822602
512441.478129807,0.0981999299838208,1.9932189087073E-05,1.9932189087073E-08,0.298688769340515,-1.01904153823852,1.31773030757904,,,,0.000273418231647092,0.000446558788549126
512441.479129806,0.0991999289835803,2.01347490350405E-05,2.01347490350405E-08,0.299719840288162,-1.01904153823852,1.31876137852668,,,,0.000276196831756386,0.00044933738865842
512441.480529803,0.100599926023278,2.04183443387349E-05,2.04183443387349E-08,0.300903677940368,-1.01917517185211,1.32007884979248,,,,0.000280087027966185,0.000453227584868219
512441.481929801,0.101999923994299,2.07019166714615E-05,2.07019166714615E-08,0.302030205726623,-1.01915609836578,1.3211863040924,,,,0.000283976909073546,0.00045711746597558
512441.483129799,0.103199922014028,2.09449866943889E-05,2.09449866943889E-08,0.30313766002655,-1.01936602592468,1.32250368595123,,,,0.000287311202940863,0.000460451759842897
512441.484329797,0.104399919975549,2.1188057432572E-05,2.1188057432572E-08,0.304168730974197,-1.01925146579742,1.32342019677162,,,,0.000290645506619643,0.000463786063521677
512441.485329795,0.105399917985778,2.13906212713983E-05,2.13906212713983E-08,0.305180698633194,-1.01938509941101,1.3245657980442,,,,0.000293424160101486,0.00046656471700352
512441.486729793,0.106799916015007,2.16742084523042E-05,2.16742084523042E-08,0.306307256221771,-1.01927053928375,1.32557779550552,,,,0.000297314244887575,0.000470454801789609
512441.48812979,0.108199912996497,2.195779563321E-05,2.195779563321E-08,0.307586550712585,-1.01928973197937,1.32687628269195,,,,0.000301204329673663,0.000474344886575697
512441.489329788,0.109399911016226,2.22008716662724E-05,2.22008716662724E-08,0.308655798435211,-1.01919424533844,1.32785004377365,,,,0.000304538705984532,0.000477679262886566
512441.490729786,0.110799908987246,2.24844662646452E-05,2.24844662646452E-08,0.309782356023788,-1.01923239231109,1.32901474833488,,,,0.000308428892519139,0.000481569449421173
512441.491929784,0.111999907006975,2.27275430129633E-05,2.27275430129633E-08,0.310832500457763,-1.01927053928375,1.33010303974151,,,,0.000311763278641472,0.000484903835543506
512441.493329784,0.113399907015264,2.30111372570196E-05,2.30111372570196E-08,0.312054514884948,-1.01921331882476,1.33126783370971,,,,0.00031565346031577,0.000488794017217804
512441.494729785,0.114799908013083,2.32947357429398E-05,2.32947357429398E-08,0.313085585832595,-1.01917517185211,1.3322607576847,,,,0.000319543700177501,0.000492684257079535
512441.495929786,0.115999909001403,2.35378135475847E-05,2.35378135475847E-08,0.314154863357543,-1.01921331882476,1.33336818218231,,,,0.000322878100789914,0.000496018657691948
512441.497329785,0.117399908020161,2.38213996622297E-05,2.38213996622297E-08,0.315262287855148,-1.01928973197937,1.33455201983451,,,,0.000326768170949653,0.000499908727851687
